    Probability      Ta          Pa        thermalEff    propEff    overallEff    thrustEnglish     TSFC     altitude    specificThrust    mdotA      Mach     Specific_Impulse    mdotF     fuel2air    Afterburner
    ___________    ______    __________    __________    _______    __________    _____________    ______    ________    ______________    ______    ______    ________________    ______    ________    ___________

    3.3633         288.15    1.0132e+05     0.11425            0           0       33241           2.1187        0       724.82               204         0    1699.6              5.3512    0.043473    1          
    3.3634         288.15    1.0132e+05     0.11554      0.34856    0.040274       29018           2.4202        0       632.74               204    0.3542    1487.8              5.4059    0.043351    1          
    12.103          239.4         38251     0.24816      0.61194     0.15186       21611            1.241    25000       525.23            183.02      0.75    2906.7                   0     0.01842    0          
    3.3664         229.65         30742     0.13219      0.85644     0.11321       22677           2.7182    30000       563.22             179.1      1.25    1327.5              4.7861    0.043249    1          
    3.3632         216.65        7504.8     0.11047      0.99288     0.10969       10196           4.3644    60000       288.45            157.23         2    704.25              4.0104    0.041752    1          
    3.3632         216.65          5924    0.096696       0.9996    0.096658      7866.8           5.4554    65000       227.44            153.86       2.2     563.6              4.1008    0.041137    1          
    3.3632          219.3        3614.1     0.05837      0.99876    0.058297      4496.8           9.1059    75500       136.07               147       2.2     337.9              3.9423    0.041049    1          
    3.3633         268.79         70301     0.11116      0.34144    0.037955       27307           2.4841     9928       621.64             195.4    0.3545    1450.5              5.0342    0.043686    1          
    3.3681          258.9         57728     0.13051       0.7863     0.10262       25733           2.5445    15000       598.86            191.14         1    1416.6              5.1737    0.043092    1          
    50.893         216.65         19330     0.21897      0.99076     0.21695       23318           2.0927    40000       604.84            171.49       1.9    1466.7              4.2827    0.042038    1          
    3.3632         216.65        7158.1     0.11107      0.99891     0.11095      9700.1            4.535    61000       275.62            156.55       2.1    677.79              4.0807    0.041452    1          
    3.3632          223.8         26843      0.1037       0.6878    0.071324       20161           3.0673    33000       507.29            176.78       0.9    1176.7               4.453    0.043948    1          
    3.3632         217.65        4677.9     0.06933      0.94912    0.065802      4515.5           9.0614    70000       133.41            150.55       2.5    339.43              4.3134    0.040066    1   
